    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 4.168e-06 |
  2 |   2                3 1.463e-06 |
  3 |   3                5 1.522e-06 |
  4 |   3                6 1.473e-06 |
  5 |   4                7 1.673e-06 |
  6 |   4                9 1.623e-06 |
  7 |   5               10 1.623e-06 |
  8 |   5               13 1.974e-06 |
  9 |   5               13 2.184e-06 |
 10 |   6               16 2.194e-06 |
 11 |   6               18 5.581e-06 |
 12 |   6               18 2.284e-06 |
 13 |   7               22 2.044e-06 |
 14 |   7               25 2.354e-06 |
 15 |   7               28 2.554e-06 |
 16 |   7               29 2.605e-06 |
 17 |   8               33 2.895e-06 |
 18 |   8               35 2.765e-06 |
 19 |   8               45 3.216e-06 |
 20 |   8               45 4.208e-06 |
 21 |   9               49 5.180e-06 |
 22 |   9               50 3.586e-06 |
 23 |   9               61 4.048e-06 |
 24 |   9               62 3.777e-06 |
 25 |   9               60 3.707e-06 |
 26 |  10               60 3.527e-06 |
 27 |  10               62 3.266e-06 |
 28 |  10               70 3.607e-06 |
 29 |  10               67 3.556e-06 |
 30 |  11               68 3.567e-06 |
 31 |  11               70 3.446e-06 |
 32 |  11               70 3.397e-06 |
 33 |  12               72 3.476e-06 |
 34 |  12               74 3.477e-06 |
 35 |  12               74 3.436e-06 |
 36 |  13               76 3.497e-06 |
 37 |  13               78 3.517e-06 |
 38 |  13               78 3.567e-06 |
 39 |  14               80 3.677e-06 |
 40 |  14               82 3.637e-06 |
 41 |  14               82 3.677e-06 |
 42 |  15               85 3.817e-06 |
 43 |  15               87 3.837e-06 |
 44 |  15               87 3.808e-06 |
 45 |  16               90 5.040e-06 |
 46 |  16               92 5.260e-06 |
 47 |  16               95 5.801e-06 |
 48 |  16               95 4.198e-06 |
 49 |  17               95 4.379e-06 |
 50 |  17               97 4.438e-06 |
 55 |  19              101 7.975e-06 |
 60 |  22              107 5.520e-06 |
 65 |  23              114 5.140e-06 |
 70 |  25              126 5.420e-06 |
 75 |  26              146 6.372e-06 |
 80 |  27              170 7.734e-06 |
 85 |  28              195 1.186e-05 |
 90 |  30              192 1.147e-05 |
 95 |  32              197 1.013e-05 |
100 |  35              202 1.004e-05 |
110 |  39              216 1.308e-05 |
120 |  42              238 1.067e-05 |
130 |  44              289 1.317e-05 |
140 |  47              343 1.611e-05 |
150 |  48              374 2.044e-05 |
160 |  52              384 1.814e-05 |
170 |  57              395 1.722e-05 |
180 |  60              418 1.792e-05 |
190 |  62              464 2.022e-05 |
200 |  64              503 2.263e-05 |
220 |  71              529 2.831e-05 |
240 |  78              573 2.936e-05 |
260 |  82              653 2.942e-05 |
280 |  89              676 2.843e-05 |
300 |  97              707 2.995e-05 |
320 | 102              774 4.175e-05 |
340 | 112              798 3.365e-05 |
360 | 116              857 3.643e-05 |
380 | 121              931 4.028e-05 |
400 | 130              951 4.042e-05 |
420 | 135             1018 5.143e-05 |
440 | 140             1067 4.630e-05 |
460 | 147             1096 4.561e-05 |
480 | 152             1156 5.495e-05 |
500 | 159             1198 4.840e-05 |
520 | 167             1228 4.915e-05 |
540 | 172             1320 5.329e-05 |
560 | 178             1356 5.619e-05 |
580 | 185             1392 5.659e-05 |
600 | 189             1488 6.064e-05 |
620 | 196             1524 6.275e-05 |
640 | 204             1559 6.547e-05 |
660 | 208             1634 6.707e-05 |
680 | 215             1660 6.792e-05 |
700 | 223             1691 6.855e-05 |
720 | 228             1751 7.142e-05 |
740 | 238             1775 7.200e-05 |
760 | 242             1849 7.508e-05 |
780 | 246             1923 8.068e-05 |
800 | 256             1946 8.276e-05 |
--- + --- ---------------- --------- +
