    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 2.495e-06 |
  2 |   2                3 8.910e-07 |
  3 |   3                5 9.720e-07 |
  4 |   3                8 1.163e-06 |
  5 |   4               13 1.222e-06 |
  6 |   4               22 1.553e-06 |
  7 |   5               36 1.804e-06 |
  8 |   5               60 2.234e-06 |
  9 |   5              100 3.035e-06 |
 10 |   6              167 4.017e-06 |
 11 |   6              279 7.874e-06 |
 12 |   6              465 9.067e-06 |
 13 |   7              777 1.357e-05 |
 14 |   7             1297 2.157e-05 |
 15 |   7             2165 3.475e-05 |
 16 |   7             3614 5.686e-05 |
 17 |   8             6031 9.362e-05 |
 18 |   8            10065 1.564e-04 |
 19 |   8            16795 2.574e-04 |
 20 |   8            28011 4.281e-04 |
 21 |   9            46724 7.580e-04 |
 22 |   9            77940 1.257e-03 |
 23 |   9           130018 2.149e-03 |
 24 |   9           216884 3.484e-03 |
 25 |   9           361795 5.901e-03 |
 26 |  10           599912 9.677e-03 |
 27 |  10           997122 1.679e-02 |
 28 |  10          1659747 2.720e-02 |
 29 |  10          2761495 4.241e-02 |
 30 |  11          4599395 7.476e-02 |
 31 |  11          7661720 1.242e-01 |
 32 |  11         12762951 2.094e-01 |
 33 |  12         21265449 3.499e-01 |
 34 |  12         35430978 4.994e-01 |
 35 |  12         59036163 3.967e-01 |
 36 |  13         98370244 6.514e-01 |
 37 |  13        163910216 1.107e+00 |
 38 |  13        273122694 1.850e+00 |
 39 |  14        455101542 2.777e+00 |
 40 |  14        758333230 4.401e+00 |
 41 |  14       1263611087 8.449e+00 |
 42 |  15       2116400584 1.327e+01 |
 43 |  15       3537407204 2.313e+01 |
 44 |  15       5875115288 3.572e+01 |
 45 |  16       9781288723 5.652e+01 |
 46 |  16      16290155677 9.449e+01 |
 47 |  16      27116619673 1.644e+02 |
 48 |  16      45178474140 2.640e+02 |
 49 |  17      72266166660 4.323e+02 |
 50 |  17     117415713647 6.971e+02 |
 55 |  19    1300309416640 7.358e+03 |
 60 |                                |
 65 |                                |
 70 |                                |
 75 |                                |
 80 |                                |
 85 |                                |
 90 |                                |
 95 |                                |
100 |                                |
110 |                                |
120 |                                |
130 |                                |
140 |                                |
150 |                                |
160 |                                |
170 |                                |
180 |                                |
190 |                                |
200 |                                |
220 |                                |
240 |                                |
260 |                                |
280 |                                |
300 |                                |
320 |                                |
340 |                                |
360 |                                |
380 |                                |
400 |                                |
420 |                                |
440 |                                |
460 |                                |
480 |                                |
500 |                                |
520 |                                |
540 |                                |
560 |                                |
580 |                                |
600 |                                |
620 |                                |
640 |                                |
660 |                                |
680 |                                |
700 |                                |
720 |                                |
740 |                                |
760 |                                |
780 |                                |
800 |                                |
--- + --- ---------------- --------- +
